produc_id,product_name,cat_id,netto,brutto,accessories
H10-05010,"RTEU 5,0",25,427.0,525.21,
H10-07510,"RTEU 7,5",25,428.0,526.44,
H10-10010,RTEU 10,25,435.0,535.05,
H60-01000,"TD 1,0",27,103.0,126.69,
H60-03000,"TD 3,0",27,187.0,230.01,
H60-05000,"TD 5,0",27,206.0,253.38,
H60-07001,"TD 7,0",27,289.0,355.47,
H60-10001,"TD 10,0",27,358.0,440.34,
H60-14001,"TD 14,0",27,376.0,462.48,
H70-01500,"TE 1,5",28,42.0,51.66,
H70-03500,"TE 3,5",28,67.0,82.41,
H70-05000,"TE 5,0",28,87.0,107.01,
H70-07500,"TE 7,5",28,107.0,131.61,
H70-10000,"TE 10,0",28,129.0,158.67,
H70-15000,"TE 15,0",28,269.0,330.87,
CAICCO18005,DC-MEC,30,75.0,92.25,
CAICCO18010,DC-MAG,30,14.0,17.22,
H80-38001,"MSD 1 (2,5 kW)",32,116.0,142.68,
H80-38007,"MSD 2 (2,5 kW)",32,153.0,188.19,
H80-38012,"MSD 2 (7,5 kW)",32,556.0,683.88,
H80-38030,"MSD 1 (4,0 kW)",32,153.0,188.19,
H80-38031,"MSD 1 (5,5 kW)",32,171.0,210.33,
H80-38033,"MSD 1K (2,5 kW)",32,238.0,292.74,
H80-38034,"MSD 2K (2,5 kW)",32,251.0,308.73,
H80-38036,"MSD 1K (5,5 kW)",32,409.0,503.07,
H80-22001,"MSE 1 (1,3 kW)",33,65.0,79.95,
H80-22036,"MSE 1 (3,6 kW)",33,175.0,215.25,
H80-00031,GS 2,35,60.0,73.8,
H80-00032,GS 3,35,104.0,127.92,
H80-00033,GS 4,35,34.0,41.82,
H80-00034,GS 5,35,50.0,61.5,
H80-00040,GS 6,35,,,
H80-00145,GS 5 Ex,35,704.0,865.92,
H80-00146,GS 6 Ex,35,1275.0,1568.25,
H80-00230,GS 1,35,57.0,70.11,
AIRSEC21100,CB4,38,14.0,17.22,
JANCCO21130,CB50,38,62.0,76.26,
JANCCO21135,CB20,38,27.0,33.21,
KABCCO21005,CB7,38,18.0,22.14,
LEOCCO33005,IR-AIR,40,42.0,51.66,
H40-00008,PU 2,42,386.0,474.78,
H40-00050,PUA 1,43,460.0,565.8,
H40-00100,PUA 10,43,263.0,323.49,
H40-00500,PUA 50,43,263.0,323.49,
TERCCO33600,TD-NE,44,117.0,143.91,
VARCCO99010,TA-1002,44,33.0,40.59,
H81-00004,RT 4,45,132.0,162.36,
H81-00001,RT 1,45,97.0,119.31,
H81-00005,RT 2,45,127.0,156.21,
H55-00061,RTR 2,46,,,
H55-00062,RTR 1,46,264.0,324.72,
EHRR10000310,"EHRR 100 0,3kW (230V) - bez automatyki",50,79.0,97.17,
EHRR10000311,"EHRR 100 0,3kW (230V) - wewn. nastawa temp.",50,156.0,191.88,
EHRR10000312,"EHRR 100 0,3kW (230V) - zewn. nastawa temp.",50,156.0,191.88,
EHRR10000313,"EHRR 100 0,3kW (230V) - sterowanie 0-10V",50,156.0,191.88,
EHRR10000910,"EHRR 100 0,9kW (230V) - bez automatyki",50,107.0,131.61,
EHRR10000911,"EHRR 100 0,9kW (230V) - wewn. nastawa temp.",50,187.0,230.01,
EHRR10000912,"EHRR 100 0,9kW (230V) - zewn. nastawa temp.",50,187.0,230.01,
EHRR10000913,"EHRR 100 0,9kW (230V) - sterowanie 0-10V",50,187.0,230.01,
EHRR10001210,"EHRR 100 1,2kW (230V) - bez automatyki",50,119.0,146.37,
EHRR10001211,"EHRR 100 1,2kW (230V) - wewn. nastawa temp.",50,204.0,250.92,
EHRR10001212,"EHRR 100 1,2kW (230V) - zewn. nastawa temp.",50,204.0,250.92,
EHRR10001213,"EHRR 100 1,2kW (230V) - sterowanie 0-10V",50,204.0,250.92,
EHRR12500310,"EHRR 125 0,3kW (230V) - bez automatyki",50,82.0,100.86,
EHRR12500311,"EHRR 125 0,3kW (230V) - wewn. nastawa temp.",50,159.0,195.57,
EHRR12500312,"EHRR 125 0,3kW (230V) - zewn. nastawa temp.",50,159.0,195.57,
EHRR12500313,"EHRR 125 0,3kW (230V) - sterowanie 0-10V",50,159.0,195.57,
EHRR12500610,"EHRR 125 0,6kW (230V) - bez automatyki",50,91.0,111.93,
EHRR12500611,"EHRR 125 0,6kW (230V) - wewn. nastawa temp.",50,171.0,210.33,
EHRR12500612,"EHRR 125 0,6kW (230V) - zewn. nastawa temp.",50,171.0,210.33,
EHRR12500613,"EHRR 125 0,6kW (230V) - sterowanie 0-10V",50,171.0,210.33,
EHRR12500910,"EHRR 125 0,9kW (230V) - bez automatyki",50,109.0,134.07,
EHRR12500911,"EHRR 125 0,9kW (230V) - wewn. nastawa temp.",50,189.0,232.47,
EHRR12500912,"EHRR 125 0,9kW (230V) - zewn. nastawa temp.",50,189.0,232.47,
EHRR12500913,"EHRR 125 0,9kW (230V) - sterowanie 0-10V",50,189.0,232.47,
EHRR12501210,"EHRR 125 1,2kW (230V) - bez automatyki",50,117.0,143.91,
EHRR12501211,"EHRR 125 1,2kW (230V) - wewn. nastawa temp.",50,206.0,253.38,
EHRR12501212,"EHRR 125 1,2kW (230V) - zewn. nastawa temp.",50,206.0,253.38,
EHRR12501213,"EHRR 125 1,2kW (230V) - sterowanie 0-10V",50,206.0,253.38,
EHRR12501510,"EHRR 125 1,5kW (230V) - bez automatyki",50,133.0,163.59,
EHRR12501511,"EHRR 125 1,5kW (230V) - wewn. nastawa temp.",50,213.0,261.99,
EHRR12501512,"EHRR 125 1,5kW (230V) - zewn. nastawa temp.",50,213.0,261.99,
EHRR12501513,"EHRR 125 1,5kW (230V) - sterowanie 0-10V",50,213.0,261.99,
EHRR12501810,"EHRR 125 1,8kW (230V) - bez automatyki",50,147.0,180.81,
EHRR12501811,"EHRR 125 1,8kW (230V) - wewn. nastawa temp.",50,217.0,266.91,
EHRR12501812,"EHRR 125 1,8kW (230V) - zewn. nastawa temp.",50,217.0,266.91,
EHRR12501813,"EHRR 125 1,8kW (230V) - sterowanie 0-10V",50,217.0,266.91,
EHRR12502410,"EHRR 125 2,4kW (230V) - bez automatyki",50,152.0,186.96,
EHRR12502411,"EHRR 125 2,4kW (230V) - wewn. nastawa temp.",50,227.0,279.21,
EHRR12502412,"EHRR 125 2,4kW (230V) - zewn. nastawa temp.",50,227.0,279.21,
EHRR12502413,"EHRR 125 2,4kW (230V) - sterowanie 0-10V",50,227.0,279.21,
EHRR16000910,"EHRR 160 0,9kW (230V) - bez automatyki",50,103.0,126.69,
EHRR16000911,"EHRR 160 0,9kW (230V) - wewn. nastawa temp.",50,192.0,236.16,
EHRR16000912,"EHRR 160 0,9kW (230V) - zewn. nastawa temp.",50,192.0,236.16,
EHRR16000913,"EHRR 160 0,9kW (230V) - sterowanie 0-10V",50,192.0,236.16,
EHRR16001210,"EHRR 160 1,2kW (230V) - bez automatyki",50,96.0,118.08,
EHRR16001211,"EHRR 160 1,2kW (230V) - wewn. nastawa temp.",50,164.0,201.72,
EHRR16001212,"EHRR 160 1,2kW (230V) - zewn. nastawa temp.",50,164.0,201.72,
EHRR16001213,"EHRR 160 1,2kW (230V) - sterowanie 0-10V",50,164.0,201.72,
EHRR16002010,"EHRR 160 2,0kW (230V) - bez automatyki",50,109.0,134.07,
EHRR16002011,"EHRR 160 2,0kW (230V) - wewn. nastawa temp.",50,196.0,241.08,
EHRR16002012,"EHRR 160 2,0kW (230V) - zewn. nastawa temp.",50,196.0,241.08,
EHRR16002013,"EHRR 160 2,0kW (230V) - sterowanie 0-10V",50,196.0,241.08,
EHRR16002410,"EHRR 160 2,4kW (230V) - bez automatyki",50,112.0,137.76,
EHRR16002411,"EHRR 160 2,4kW (230V) - wewn. nastawa temp.",50,199.0,244.77,
EHRR16002412,"EHRR 160 2,4kW (230V) - zewn. nastawa temp.",50,199.0,244.77,
EHRR16002413,"EHRR 160 2,4kW (230V) - sterowanie 0-10V",50,199.0,244.77,
EHRR16003020,"EHRR 160 3,0kW (2~400V) - bez automatyki",50,126.0,154.98,
EHRR16003021,"EHRR 160 3,0kW (2~400V) - wewn. nastawa temp.",50,243.0,298.89,
EHRR16003022,"EHRR 160 3,0kW (2~400V) - zewn. nastawa temp.",50,243.0,298.89,
EHRR16003023,"EHRR 160 3,0kW (2~400V) - sterowanie 0-10V",50,243.0,298.89,
EHRR16005020,"EHRR 160 5,0kW (2~400V) - bez automatyki",50,163.0,200.49,
EHRR16005021,"EHRR 160 5,0kW (2~400V) - wewn. nastawa temp.",50,260.0,319.8,
EHRR16005022,"EHRR 160 5,0kW (2~400V) - zewn. nastawa temp.",50,260.0,319.8,
EHRR16005023,"EHRR 160 5,0kW (2~400V) - sterowanie 0-10V",50,260.0,319.8,
EHRR16006020,"EHRR 160 6,0kW (2~400V) - bez automatyki",50,180.0,221.4,
EHRR16006021,"EHRR 160 6,0kW (2~400V) - wewn. nastawa temp.",50,283.0,348.09,
EHRR16006022,"EHRR 160 6,0kW (2~400V) - zewn. nastawa temp.",50,283.0,348.09,
EHRR16006023,"EHRR 160 6,0kW (2~400V) - sterowanie 0-10V",50,283.0,348.09,
EHRR16006030,"EHRR 160 6,0kW (3~400V) - bez automatyki",50,180.0,221.4,
EHRR16006031,"EHRR 160 6,0kW (3~400V) - wewn. nastawa temp.",50,286.0,351.78,
EHRR16006032,"EHRR 160 6,0kW (3~400V) - zewn. nastawa temp.",50,286.0,351.78,
EHRR16006033,"EHRR 160 6,0kW (3~400V) - sterowanie 0-10V",50,286.0,351.78,
EHRR20000910,"EHRR 200 0,9kW (230V) - bez automatyki",50,129.0,158.67,
EHRR20000911,"EHRR 200 0,9kW (230V) - wewn. nastawa temp.",50,213.0,261.99,
EHRR20000912,"EHRR 200 0,9kW (230V) - zewn. nastawa temp.",50,213.0,261.99,
EHRR20000913,"EHRR 200 0,9kW (230V) - sterowanie 0-10V",50,213.0,261.99,
EHRR20001210,"EHRR 200 1,2kW (230V) - bez automatyki",50,109.0,134.07,
EHRR20001211,"EHRR 200 1,2kW (230V) - wewn. nastawa temp.",50,187.0,230.01,
EHRR20001212,"EHRR 200 1,2kW (230V) - zewn. nastawa temp.",50,187.0,230.01,
EHRR20001213,"EHRR 200 1,2kW (230V) - sterowanie 0-10V",50,187.0,230.01,
EHRR20002010,"EHRR 200 2,0kW (230V) - bez automatyki",50,124.0,152.52,
EHRR20002011,"EHRR 200 2,0kW (230V) - wewn. nastawa temp.",50,218.0,268.14,
EHRR20002012,"EHRR 200 2,0kW (230V) - zewn. nastawa temp.",50,218.0,268.14,
EHRR20002013,"EHRR 200 2,0kW (230V) - sterowanie 0-10V",50,218.0,268.14,
EHRR20003010,"EHRR 200 3,0kW (230V) - bez automatyki",50,142.0,174.66,
EHRR20003011,"EHRR 200 3,0kW (230V) - wewn. nastawa temp.",50,244.0,300.12,
EHRR20003012,"EHRR 200 3,0kW (230V) - zewn. nastawa temp.",50,244.0,300.12,
EHRR20003013,"EHRR 200 3,0kW (230V) - sterowanie 0-10V",50,244.0,300.12,
EHRR20003020,"EHRR 200 3,0kW (2~400V) - bez automatyki",50,142.0,174.66,
EHRR20003021,"EHRR 200 3,0kW (2~400V) - wewn. nastawa temp.",50,250.0,307.5,
EHRR20003022,"EHRR 200 3,0kW (2~400V) - zewn. nastawa temp.",50,250.0,307.5,
EHRR20003023,"EHRR 200 3,0kW (2~400V) - sterowanie 0-10V",50,250.0,307.5,
EHRR20005020,"EHRR 200 5,0kW (2~400V) - bez automatyki",50,182.0,223.86,
EHRR20005021,"EHRR 200 5,0kW (2~400V) - wewn. nastawa temp.",50,279.0,343.17,
EHRR20005022,"EHRR 200 5,0kW (2~400V) - zewn. nastawa temp.",50,279.0,343.17,
EHRR20005023,"EHRR 200 5,0kW (2~400V) - sterowanie 0-10V",50,279.0,343.17,
EHRR20006020,"EHRR 200 6,0kW (2~400V) - bez automatyki",50,199.0,244.77,
EHRR20006021,"EHRR 200 6,0kW (2~400V) - wewn. nastawa temp.",50,333.0,409.59,
EHRR20006022,"EHRR 200 6,0kW (2~400V) - zewn. nastawa temp.",50,333.0,409.59,
EHRR20006023,"EHRR 200 6,0kW (2~400V) - sterowanie 0-10V",50,333.0,409.59,
EHRR20006030,"EHRR 200 6,0kW (3~400V) - bez automatyki",50,190.0,233.7,
EHRR20006031,"EHRR 200 6,0kW (3~400V) - wewn. nastawa temp.",50,333.0,409.59,
EHRR20006032,"EHRR 200 6,0kW (3~400V) - zewn. nastawa temp.",50,333.0,409.59,
EHRR20006033,"EHRR 200 6,0kW (3~400V) - sterowanie 0-10V",50,333.0,409.59,
EHRR25001210,"EHRR 250 1,2kW (230V) - bez automatyki",50,110.0,135.3,
EHRR25001211,"EHRR 250 1,2kW (230V) - wewn. nastawa temp.",50,194.0,238.62,
EHRR25001212,"EHRR 250 1,2kW (230V) - zewn. nastawa temp.",50,194.0,238.62,
EHRR25001213,"EHRR 250 1,2kW (230V) - sterowanie 0-10V",50,194.0,238.62,
EHRR25001510,"EHRR 250 1,5kW (230V) - bez automatyki",50,126.0,154.98,
EHRR25001511,"EHRR 250 1,5kW (230V) - wewn. nastawa temp.",50,206.0,253.38,
EHRR25001512,"EHRR 250 1,5kW (230V) - zewn. nastawa temp.",50,206.0,253.38,
EHRR25001513,"EHRR 250 1,5kW (230V) - sterowanie 0-10V",50,206.0,253.38,
EHRR25002010,"EHRR 250 2,0kW (230V) - bez automatyki",50,128.0,157.44,
EHRR25002011,"EHRR 250 2,0kW (230V) - wewn. nastawa temp.",50,223.0,274.29,
EHRR25002012,"EHRR 250 2,0kW (230V) - zewn. nastawa temp.",50,223.0,274.29,
EHRR25002013,"EHRR 250 2,0kW (230V) - sterowanie 0-10V",50,223.0,274.29,
EHRR25003010,"EHRR 250 3,0kW (230V) - bez automatyki",50,145.0,178.35,
EHRR25003011,"EHRR 250 3,0kW (230V) - wewn. nastawa temp.",50,250.0,307.5,
EHRR25003012,"EHRR 250 3,0kW (230V) - zewn. nastawa temp.",50,250.0,307.5,
EHRR25003013,"EHRR 250 3,0kW (230V) - sterowanie 0-10V",50,250.0,307.5,
EHRR25003020,"EHRR 250 3,0kW (2~400V) - bez automatyki",50,142.0,174.66,
EHRR25003021,"EHRR 250 3,0kW (2~400V) - wewn. nastawa temp.",50,257.0,316.11,
EHRR25003022,"EHRR 250 3,0kW (2~400V) - zewn. nastawa temp.",50,257.0,316.11,
EHRR25003023,"EHRR 250 3,0kW (2~400V) - sterowanie 0-10V",50,257.0,316.11,
EHRR25003030,"EHRR 250 3,0kW (3~400V) - bez automatyki",50,150.0,184.5,
EHRR25003031,"EHRR 250 3,0kW (3~400V) - wewn. nastawa temp.",50,277.0,340.71,
EHRR25003032,"EHRR 250 3,0kW (3~400V) - zewn. nastawa temp.",50,277.0,340.71,
EHRR25003033,"EHRR 250 3,0kW (3~400V) - sterowanie 0-10V",50,277.0,340.71,
EHRR25005020,"EHRR 250 5,0kW (2~400V) - bez automatyki",50,182.0,223.86,
EHRR25005021,"EHRR 250 5,0kW (2~400V) - wewn. nastawa temp.",50,277.0,340.71,
EHRR25005022,"EHRR 250 5,0kW (2~400V) - zewn. nastawa temp.",50,277.0,340.71,
EHRR25005023,"EHRR 250 5,0kW (2~400V) - sterowanie 0-10V",50,277.0,340.71,
EHRR25006020,"EHRR 250 6,0kW (2~400V) - bez automatyki",50,175.0,215.25,
EHRR25006021,"EHRR 250 6,0kW (2~400V) - wewn. nastawa temp.",50,281.0,345.63,
EHRR25006022,"EHRR 250 6,0kW (2~400V) - zewn. nastawa temp.",50,281.0,345.63,
EHRR25006023,"EHRR 250 6,0kW (2~400V) - sterowanie 0-10V",50,281.0,345.63,
EHRR25006030,"EHRR 250 6,0kW (3~400V) - bez automatyki",50,201.0,247.23,
EHRR25006031,"EHRR 250 6,0kW (3~400V) - wewn. nastawa temp.",50,335.0,412.05,
EHRR25006032,"EHRR 250 6,0kW (3~400V) - zewn. nastawa temp.",50,335.0,412.05,
EHRR25006033,"EHRR 250 6,0kW (3~400V) - sterowanie 0-10V",50,335.0,412.05,
EHRR25009030,"EHRR 250 9,0kW (3~400V) - bez automatyki",50,225.0,276.75,
EHRR25009031,"EHRR 250 9,0kW (3~400V) - wewn. nastawa temp.",50,357.0,439.11,
EHRR25009032,"EHRR 250 9,0kW (3~400V) - zewn. nastawa temp.",50,357.0,439.11,
EHRR25009033,"EHRR 250 9,0kW (3~400V) - sterowanie 0-10V",50,357.0,439.11,
EHRR25012030,"EHRR 250 12,0kW (3~400V) - bez automatyki",50,316.0,388.68,
EHRR25012031,"EHRR 250 12,0kW (3~400V) - wewn. nastawa temp.",50,473.0,581.79,
EHRR25012032,"EHRR 250 12,0kW (3~400V) - zewn. nastawa temp.",50,473.0,581.79,
EHRR25012033,"EHRR 250 12,0kW (3~400V) - sterowanie 0-10V",50,473.0,581.79,
EHRR31501210,"EHRR 315 1,2kW (230V) - bez automatyki",50,131.0,161.13,
EHRR31501211,"EHRR 315 1,2kW (230V) - wewn. nastawa temp.",50,220.0,270.6,
EHRR31501212,"EHRR 315 1,2kW (230V) - zewn. nastawa temp.",50,220.0,270.6,
EHRR31501213,"EHRR 315 1,2kW (230V) - sterowanie 0-10V",50,220.0,270.6,
EHRR31501510,"EHRR 315 1,5kW (230V) - bez automatyki",50,142.0,174.66,
EHRR31501511,"EHRR 315 1,5kW (230V) - wewn. nastawa temp.",50,225.0,276.75,
EHRR31501512,"EHRR 315 1,5kW (230V) - zewn. nastawa temp.",50,225.0,276.75,
EHRR31501513,"EHRR 315 1,5kW (230V) - sterowanie 0-10V",50,225.0,276.75,
EHRR31502010,"EHRR 315 2,0kW (230V) - bez automatyki",50,147.0,180.81,
EHRR31502011,"EHRR 315 2,0kW (230V) - wewn. nastawa temp.",50,241.0,296.43,
EHRR31502012,"EHRR 315 2,0kW (230V) - zewn. nastawa temp.",50,241.0,296.43,
EHRR31502013,"EHRR 315 2,0kW (230V) - sterowanie 0-10V",50,241.0,296.43,
EHRR31503020,"EHRR 315 3,0kW (2~400V) - bez automatyki",50,163.0,200.49,
EHRR31503021,"EHRR 315 3,0kW (2~400V) - wewn. nastawa temp.",50,260.0,319.8,
EHRR31503022,"EHRR 315 3,0kW (2~400V) - zewn. nastawa temp.",50,260.0,319.8,
EHRR31503023,"EHRR 315 3,0kW (2~400V) - sterowanie 0-10V",50,260.0,319.8,
EHRR31505020,"EHRR 315 5,0kW (2~400V) - bez automatyki",50,201.0,247.23,
EHRR31505021,"EHRR 315 5,0kW (2~400V) - wewn. nastawa temp.",50,302.0,371.46,
EHRR31505022,"EHRR 315 5,0kW (2~400V) - zewn. nastawa temp.",50,302.0,371.46,
EHRR31505023,"EHRR 315 5,0kW (2~400V) - sterowanie 0-10V",50,302.0,371.46,
EHRR31506020,"EHRR 315 6,0kW (2~400V) - bez automatyki",50,192.0,236.16,
EHRR31506021,"EHRR 315 6,0kW (2~400V) - wewn. nastawa temp.",50,298.0,366.54,
EHRR31506022,"EHRR 315 6,0kW (2~400V) - zewn. nastawa temp.",50,298.0,366.54,
EHRR31506023,"EHRR 315 6,0kW (2~400V) - sterowanie 0-10V",50,298.0,366.54,
EHRR31506030,"EHRR 315 6,0kW (3~400V) - bez automatyki",50,220.0,270.6,
EHRR31506031,"EHRR 315 6,0kW (3~400V) - wewn. nastawa temp.",50,354.0,435.42,
EHRR31506032,"EHRR 315 6,0kW (3~400V) - zewn. nastawa temp.",50,354.0,435.42,
EHRR31506033,"EHRR 315 6,0kW (3~400V) - sterowanie 0-10V",50,354.0,435.42,
EHRR31509030,"EHRR 315 9,0kW (3~400V) - bez automatyki",50,241.0,296.43,
EHRR31509031,"EHRR 315 9,0kW (3~400V) - wewn. nastawa temp.",50,377.0,463.71,
EHRR31509032,"EHRR 315 9,0kW (3~400V) - zewn. nastawa temp.",50,377.0,463.71,
EHRR31509033,"EHRR 315 9,0kW (3~400V) - sterowanie 0-10V",50,377.0,463.71,
EHRR31512030,"EHRR 315 12,0kW (3~400V) - bez automatyki",50,316.0,388.68,
EHRR31512031,"EHRR 315 12,0kW (3~400V) - wewn. nastawa temp.",50,473.0,581.79,
EHRR31512032,"EHRR 315 12,0kW (3~400V) - zewn. nastawa temp.",50,473.0,581.79,
EHRR31512033,"EHRR 315 12,0kW (3~400V) - sterowanie 0-10V",50,473.0,581.79,
EHRR35506030,"EHRR 355 6,0kW (3~400V) - bez automatyki",50,225.0,276.75,
EHRR35506031,"EHRR 355 6,0kW (3~400V) - wewn. nastawa temp.",50,366.0,450.18,
EHRR35506032,"EHRR 355 6,0kW (3~400V) - zewn. nastawa temp.",50,366.0,450.18,
EHRR35506033,"EHRR 355 6,0kW (3~400V) - sterowanie 0-10V",50,366.0,450.18,
EHRR35509030,"EHRR 355 9,0kW (3~400V) - bez automatyki",50,241.0,296.43,
EHRR35509031,"EHRR 355 9,0kW (3~400V) - wewn. nastawa temp.",50,384.0,472.32,
EHRR35509032,"EHRR 355 9,0kW (3~400V) - zewn. nastawa temp.",50,384.0,472.32,
EHRR35509033,"EHRR 355 9,0kW (3~400V) - sterowanie 0-10V",50,384.0,472.32,
EHRR35515030,"EHRR 355 15,0kW (3~400V) - bez automatyki",50,392.0,482.16,
EHRR35515031,"EHRR 355 15,0kW (3~400V) - wewn. nastawa temp.",50,483.0,594.09,
EHRR35515032,"EHRR 355 15,0kW (3~400V) - zewn. nastawa temp.",50,483.0,594.09,
EHRR35515033,"EHRR 355 15,0kW (3~400V) - sterowanie 0-10V",50,483.0,594.09,
EHRR40003020,"EHRR 400 3,0kW (2~400V) - bez automatyki",50,178.0,218.94,
EHRR40003021,"EHRR 400 3,0kW (2~400V) - wewn. nastawa temp.",50,272.0,334.56,
EHRR40003022,"EHRR 400 3,0kW (2~400V) - zewn. nastawa temp.",50,272.0,334.56,
EHRR40003023,"EHRR 400 3,0kW (2~400V) - sterowanie 0-10V",50,272.0,334.56,
EHRR40005020,"EHRR 400 5,0kW (2~400V) - bez automatyki",50,208.0,255.84,
EHRR40005021,"EHRR 400 5,0kW (2~400V) - wewn. nastawa temp.",50,312.0,383.76,
EHRR40005022,"EHRR 400 5,0kW (2~400V) - zewn. nastawa temp.",50,312.0,383.76,
EHRR40005023,"EHRR 400 5,0kW (2~400V) - sterowanie 0-10V",50,312.0,383.76,
EHRR40006020,"EHRR 400 6,0kW (2~400V) - bez automatyki",50,206.0,253.38,
EHRR40006021,"EHRR 400 6,0kW (2~400V) - wewn. nastawa temp.",50,309.0,380.07,
EHRR40006022,"EHRR 400 6,0kW (2~400V) - zewn. nastawa temp.",50,309.0,380.07,
EHRR40006023,"EHRR 400 6,0kW (2~400V) - sterowanie 0-10V",50,309.0,380.07,
EHRR40006030,"EHRR 400 6,0kW (3~400V) - bez automatyki",50,227.0,279.21,
EHRR40006031,"EHRR 400 6,0kW (3~400V) - wewn. nastawa temp.",50,366.0,450.18,
EHRR40006032,"EHRR 400 6,0kW (3~400V) - zewn. nastawa temp.",50,366.0,450.18,
EHRR40006033,"EHRR 400 6,0kW (3~400V) - sterowanie 0-10V",50,366.0,450.18,
EHRR40009030,"EHRR 400 9,0kW (3~400V) - bez automatyki",50,242.0,297.66,
EHRR40009031,"EHRR 400 9,0kW (3~400V) - wewn. nastawa temp.",50,426.0,523.98,
